,Dia,Hora,Qtd,Percentual,dia_num
0,Domingo,0,857,0.527228880084652,0
1,Domingo,1,822,0.5056967787976475,0
2,Domingo,2,745,0.4583261559662376,0
3,Domingo,3,619,0.38081059133302164,0
4,Domingo,4,482,0.2965277948667471,0
5,Domingo,5,438,0.26945886753451287,0
6,Domingo,6,501,0.3082166498511209,0
7,Domingo,7,698,0.42941161995226024,0
8,Domingo,8,1155,0.7105593424711469,0
9,Domingo,9,1376,0.8465191820262322,0
10,Domingo,10,1531,0.9418756305829662,0
11,Domingo,11,1142,0.7025617048502597,0
12,Domingo,12,1338,0.8231414720574846,0
13,Domingo,13,1033,0.6355045894135886,0
14,Domingo,14,1437,0.8840465585550115,0
15,Domingo,15,1671,1.028004035730984,0
16,Domingo,16,1872,1.151659817407781,0
17,Domingo,17,1885,1.1596574550286685,0
18,Domingo,18,2093,1.2876196569628664,0
19,Domingo,19,2918,1.795162044442257,0
20,Domingo,20,2661,1.637054900706253,0
21,Domingo,21,2196,1.3509855550360508,0
22,Domingo,22,1950,1.1996456431331053,0
23,Domingo,23,1492,0.917882717720304,0
72,Segunda,0,753,0.463247779117553,1
73,Segunda,1,549,0.3377463887590127,1
74,Segunda,2,431,0.26515244727711196,1
75,Segunda,3,303,0.18640647685606715,1
76,Segunda,4,213,0.13103821640376995,1
77,Segunda,5,284,0.1747176218716933,1
78,Segunda,6,586,0.360508895833846,1
79,Segunda,7,946,0.5819819376430346,1
80,Segunda,8,1379,0.8483647907079755,1
81,Segunda,9,1497,0.9209587321898762,1
82,Segunda,10,1744,1.0729138469867363,1
83,Segunda,11,1207,0.7425498929546964,1
84,Segunda,12,1328,0.8169894431183403,1
85,Segunda,13,1029,0.633043777837931,1
86,Segunda,14,1132,0.6964096759111155,1
87,Segunda,15,1154,0.7099441395772326,1
88,Segunda,16,1057,0.6502694588675345,1
89,Segunda,17,1130,0.6951792701232867,1
90,Segunda,18,1222,0.7517779363634127,1
91,Segunda,19,1749,1.0759898614563084,1
92,Segunda,20,1679,1.0329256588822995,1
93,Segunda,21,1189,0.731476240864237,1
94,Segunda,22,1019,0.6268917488987868,1
95,Segunda,23,700,0.43064202574008903,1
144,Terça,0,500,0.3076014469572065,2
145,Terça,1,332,0.20424736077958508,2
146,Terça,2,217,0.13349902797942761,2
147,Terça,3,163,0.10027807170804931,2
148,Terça,4,144,0.08858921672367547,2
149,Terça,5,170,0.10458449196545021,2
150,Terça,6,400,0.2460811575657652,2
151,Terça,7,704,0.4331028373157467,2
